Proceso,Seccion,Cod_Seccion,Oficina_Productora,Cod_Oficina,Cod_Serie,Serie,Subserie_TipoDocumental,Soporte_Fisico,Soporte_Electronico,Retencion_ArchivoGestion,Retencion_ArchivoCentral,Disp_ConservacionTotal,Disp_Eliminacion,Disp_Seleccion,Disp_MedioDigital,Procedimiento
N/A - Consejo Directivo (entidad independiente),Consejo Directivo,1001,Consejo Directivo,1001,1001,ACTAS,Actas comité de presupuesto,X,,5 años,10 años,X,,,X,Cumplido el tiempo de retención se conserva la serie totalmente por poseer valores secundarios para la Institución.
N/A - Consejo Directivo (entidad independiente),Consejo Directivo,1001,Consejo Directivo,1001,1001,ACTAS,Actas de asamblea general,X,,5 años,10 años,X,,,X,
N/A - Consejo Directivo (entidad independiente),Consejo Directivo,1001,Consejo Directivo,1001,1001,ACTAS,Actas de consejo directivo,X,,5 años,10 años,X,,,X,
N/A - Consejo Directivo (entidad independiente),Consejo Directivo,1001,Consejo Directivo,1001,1001,ACTOS ADMINISTRATIVOS,Acuerdos consejo directivo,X,,5 años,10 años,X,,,X,Cumplido el tiempo de retención se conserva la serie totalmente por poseer valores secundarios para la Institución.
N/A - Consejo Directivo (entidad independiente),Consejo Directivo,1001,Consejo Directivo,1001,1001,COMUNICACIONES,Comunicaciones internas,X,,1 año,1 año,,,X,,Cumplido el tiempo de retención se seleccionan los documentos que deben ser conservados de aquellos que serán eliminados
N/A - Consejo Directivo (entidad independiente),Consejo Directivo,1001,Consejo Directivo,1001,1001,COMUNICACIONES,Comunicaciones externas,X,,1 año,1 año,,,X,,
N/A - Consejo Directivo (entidad independiente),Consejo Directivo,1001,Consejo Directivo,1001,1001,INFORMES,Informe de actividades,X,,1 año,5 años,,,X,,Cumplido el tiempo de retención se seleccionan los documentos que deben ser conservados de aquellos que serán eliminados
Gestión Jurídica,Rectoría,1100,Gestion Juridica - Secretaría General,1110,1110,ACTAS,Actas comité de presupuesto,X,,5 años,10 años,X,,,X,Cumplido el tiempo de retención se conserva la serie totalmente por poseer valores secundarios para la Institución.
Gestión Jurídica,Rectoría,1100,Gestion Juridica - Secretaría General,1110,1110,ACTAS,Actas de asamblea general,X,,5 años,10 años,X,,,X,
Gestión Jurídica,Rectoría,1100,Gestion Juridica - Secretaría General,1110,1110,ACTAS,Actas de consejo directivo,X,,5 años,10 años,X,,,X,
Gestión Jurídica,Rectoría,1100,Gestion Juridica - Secretaría General,1110,1110,ACTOS ADMINISTRATIVOS,Acuerdos consejo directivo,X,,5 años,10 años,X,,,X,Cumplido el tiempo de retención se conserva la serie totalmente por poseer valores secundarios para la Institución.
Gestión Jurídica,Rectoría,1100,Gestion Juridica - Secretaría General,1110,1110,COMUNICACIONES,Comunicaciones internas,X,,1 año,2 años,,,X,,Cumplido el tiempo de retención se seleccionan los documentos que deben ser conservados de aquellos que serán eliminados
Gestión Jurídica,Rectoría,1100,Gestion Juridica - Secretaría General,1110,1110,COMUNICACIONES,Comunicaciones externas,X,,1 año,2 años,,,X,,
Gestión Jurídica,Rectoría,1100,Gestion Juridica - Secretaría General,1110,1001,INFORMES,Informe de actividades,X,,1 año,5 años,,,X,,Cumplido el tiempo de retención se seleccionan los documentos que deben ser conservados de aquellos que serán eliminados
Gestión Jurídica,Rectoría,1100,Gestion Juridica - Secretaría General,1110,1110,REGISTROS,Registro de diplomas,X,,50 años,25 años,X,,,X,Cumplido el tiempo de retención se conserva la serie totalmente por poseer valores secundarios para la Institución.
Gestión Institucional,Rectoría,1100,Gestion Institucional - Secretaria Rectoria,1100,1100,ACTAS,Actas de reuniones,X,,2 años,5 años,,,X,,Cumplido el tiempo de retención se seleccionan los documentos que deben ser conservados de aquellos que serán eliminados
Gestión Institucional,Rectoría,1100,Gestion Institucional - Secretaria Rectoria,1100,1100,ACTOS ADMINISTRATIVOS,Resoluciones,X,X,3 años,10 años,,,X,,Cumplido el tiempo de retención se seleccionan los documentos que deben ser conservados de aquellos que serán eliminados
Gestión Institucional,Rectoría,1100,Gestion Institucional - Secretaria Rectoria,1100,1100,COMUNICACIONES,Comunicaciones internas,X,,1 año,2 años,,,X,,Cumplido el tiempo de retención se seleccionan los documentos que deben ser conservados de aquellos que serán eliminados
Gestión Institucional,Rectoría,1100,Gestion Institucional - Secretaria Rectoria,1100,1100,COMUNICACIONES,Comunicaciones externas,X,,1 año,2 años,,,X,,
Gestión Institucional,Rectoría,1100,Gestion Institucional - Secretaria Rectoria,1100,1100,CONVENIOS,Convenio específico,X,,5 años,5 años,,X,,,Cumplido el tiempo de retención se elimina la serie documental por perder sus valores primarios y carecer de valores secundarios para la Institución
Gestión Institucional,Rectoría,1100,Gestion Institucional - Secretaria Rectoria,1100,1100,CONVENIOS,Convenio marco,X,,5 años,5 años,,X,,,
